Timestamp,Age Group,Occupation,Which laptop brand are you currently using?,What is your primary use for the laptop?,How satisfied are you with your current laptop performance?,Which feature matters most when buying a laptop?,Are you aware of laptop accessories that improve productivity?,Which accessories do you currently use ?,Which type of offer would encourage you to buy additional products?,What problems do you face with your current laptop?,How often does your laptop slow down while performing tasks?,"If you were to upgrade your laptop, which feature would you prefer to improve?",What RAM size would you prefer in your next laptop?,Which accessories did you buy along with your laptop?,Would you consider upgrading your laptop within the next 1–2 years?,Name,Which accessories would you consider buying with a new laptop?
10-03-2026 21:20,18–22,Student,HP,Studying,Satisfied,Price,Yes,"Laptop Bag, USB Hub, Cooling Pad",Combo bundle (Laptop + Accessories),"No major issues, Low storage space",Sometimes,Battery life,32 GB,"Laptop Bag, Mouse, External Storage",Yes,User_0001,"Wireless Mouse, Cooling Pad"
10-03-2026 15:43,18–22,Student,Lenovo,Studying,Neutral,Processor,Yes,"Wireless Mouse, Laptop Bag, External Hard Drive / SSD",Discount on accessories,"No major issues, Slow performance, Low storage space",Sometimes,Processor performance,16 GB,"Laptop Bag, Mouse, External Storage",Yes,User_0002,"External Storage, Laptop Stand"
10-03-2026 13:41,Above 40,Working Professional,HP,Studying,Neutral,RAM,Yes,"Wireless Mouse, Laptop Bag, Keyboard",Combo bundle (Laptop + Accessories),Overheating issues,Sometimes,Processor performance,64 GB,Mouse,Yes,User_0003,"Laptop Bag, External Storage, Laptop Stand, Cooling Pad"
10-03-2026 17:52,Above 40,Other,Acer,Programming,Satisfied,Graphics,Yes,"Keyboard, External Hard Drive / SSD",Discount on accessories,"Battery drains quickly, Slow performance, Low storage space",Very often,Battery life,32 GB,Mouse,Maybe,User_0004,"Wireless Mouse, Laptop Bag, External Storage"
10-03-2026 11:01,18–22,Student,Lenovo,Office Work,Very satisfied,Storage,Yes,"Wireless Mouse, Laptop Bag",Discount on accessories,Battery drains quickly,Rarely,Storage capacity,64 GB,Laptop Bag,Maybe,User_0005,"Laptop Bag, Cooling Pad"
10-03-2026 09:01,18–22,Student,Apple,Personal use,Very satisfied,Price,Yes,Wireless Mouse,Free accessories,Overheating issues,Sometimes,RAM capacity,32 GB,Mouse,Maybe,User_0006,Cooling Pad
10-03-2026 14:37,18–22,Student,Lenovo,Programming,Very satisfied,Price,Yes,"Wireless Mouse, Laptop Bag, Keyboard, USB Hub",Combo bundle (Laptop + Accessories),Low storage space,Sometimes,Graphics performance,8 GB,Mouse,Yes,User_0007,"Wireless Mouse, Cooling Pad"
10-03-2026 10:25,Above 40,Working Professional,Dell,Office Work,Very satisfied,Processor,Yes,None,Extended warranty,Insufficient RAM,Rarely,Processor performance,32 GB,"Laptop Bag, Mouse, External Storage, Cooling Pad",Maybe,User_0008,"Wireless Mouse, Laptop Bag, Cooling Pad"
10-03-2026 11:54,Above 40,Working Professional,HP,Studying,Unsatisfied,RAM,Yes,"Wireless Mouse, Laptop Bag, External Hard Drive / SSD, Laptop Stand, USB Hub",Extended warranty,"Battery drains quickly, Slow performance, Low storage space",Very often,RAM capacity,32 GB,"Mouse, External Storage",Yes,User_0009,"Wireless Mouse, Laptop Bag, External Storage, Laptop Stand, Cooling Pad"
10-03-2026 18:25,18–22,Business,Lenovo,Office Work,Satisfied,Storage,Yes,"Wireless Mouse, Keyboard",Extended warranty,"Battery drains quickly, Overheating issues, Slow performance",Rarely,Battery life,32 GB,Laptop Bag,No,User_0010,"Wireless Mouse, Laptop Bag, External Storage, Laptop Stand, Cooling Pad"
10-03-2026 18:33,Above 40,Working Professional,HP,Office Work,Very satisfied,Processor,No,"Wireless Mouse, Laptop Bag",Extended warranty,"Battery drains quickly, Overheating issues",Rarely,Storage capacity,64 GB,Laptop Bag,Yes,User_0011,"Wireless Mouse, Laptop Stand"
10-03-2026 13:34,23–30,Working Professional,Lenovo,Office Work,Satisfied,Graphics,Yes,"Wireless Mouse, Laptop Stand",Extended warranty,Overheating issues,Sometimes,Storage capacity,64 GB,"Laptop Bag, Mouse",Yes,User_0012,External Storage
10-03-2026 11:38,18–22,Student,Lenovo,Studying,Satisfied,Storage,Yes,None,Combo bundle (Laptop + Accessories),Insufficient RAM,Very often,Storage capacity,64 GB,"Mouse, Keyboard, External Storage",No,User_0013,Laptop Bag
10-03-2026 13:07,18–22,Student,HP,Office Work,Satisfied,Processor,Yes,"Wireless Mouse, Laptop Bag, External Hard Drive / SSD",Combo bundle (Laptop + Accessories),"Battery drains quickly, Overheating issues",Sometimes,Storage capacity,32 GB,"Laptop Bag, Mouse",Yes,User_0014,"Laptop Bag, Cooling Pad"
10-03-2026 15:05,18–22,Student,Dell,Office Work,Very satisfied,Graphics,Yes,"Keyboard, External Hard Drive / SSD, Laptop Stand",Combo bundle (Laptop + Accessories),"No major issues, Slow performance, Low storage space",Rarely,Storage capacity,64 GB,Keyboard,Maybe,User_0015,Wireless Mouse
10-03-2026 10:29,Less than 18,Working Professional,Lenovo,Studying,Very satisfied,Storage,Yes,Laptop Bag,Extended warranty,"Battery drains quickly, Overheating issues",Sometimes,RAM capacity,32 GB,"Mouse, External Storage",Yes,User_0016,"Laptop Bag, Cooling Pad"
10-03-2026 14:00,23–30,Working Professional,Lenovo,Studying,Neutral,Processor,Yes,"Wireless Mouse, Laptop Bag, USB Hub",Combo bundle (Laptop + Accessories),Overheating issues,Sometimes,Storage capacity,32 GB,"Mouse, Keyboard, External Storage",Maybe,User_0017,"Laptop Bag, Laptop Stand, Cooling Pad"
10-03-2026 15:56,18–22,Student,Dell,Studying,Very satisfied,Processor,Yes,"Wireless Mouse, Laptop Bag",Extended warranty,No major issues,Very often,RAM capacity,64 GB,"Laptop Bag, Mouse, Keyboard, External Storage",Yes,User_0018,"Wireless Mouse, External Storage, Cooling Pad"
10-03-2026 10:19,18–22,Business,Apple,Programming,Neutral,Processor,Yes,Cooling Pad,Combo bundle (Laptop + Accessories),"No major issues, Slow performance",Rarely,Processor performance,32 GB,"Laptop Bag, Mouse, External Storage, Cooling Pad",No,User_0019,"Wireless Mouse, External Storage"
10-03-2026 09:04,23–30,Working Professional,Dell,Personal use,Satisfied,RAM,No,"Wireless Mouse, Laptop Bag, USB Hub",Combo bundle (Laptop + Accessories),"Battery drains quickly, Overheating issues",Never,Battery life,16 GB,"Laptop Bag, Mouse",Maybe,User_0020,"Wireless Mouse, External Storage"
10-03-2026 15:50,18–22,Working Professional,HP,Studying,Neutral,RAM,Yes,"Keyboard, Cooling Pad",Extended warranty,Low storage space,Sometimes,Battery life,16 GB,"Laptop Bag, Mouse",Maybe,User_0021,"Wireless Mouse, Laptop Bag, External Storage, Laptop Stand"
10-03-2026 20:25,Above 40,Working Professional,Lenovo,Office Work,Very satisfied,Processor,No,USB Hub,Extended warranty,Insufficient RAM,Very often,Storage capacity,64 GB,None,Yes,User_0022,"Wireless Mouse, External Storage, Laptop Stand, Cooling Pad"
10-03-2026 10:26,23–30,Working Professional,Lenovo,Studying,Very satisfied,Processor,Yes,"Wireless Mouse, Laptop Bag, Cooling Pad",Extended warranty,"Battery drains quickly, No major issues, Low storage space",Rarely,RAM capacity,64 GB,"Mouse, External Storage",Yes,User_0023,"Wireless Mouse, External Storage"
10-03-2026 14:50,18–22,Student,HP,Studying,Neutral,Graphics,Yes,"Wireless Mouse, Keyboard, External Hard Drive / SSD, Laptop Stand",Combo bundle (Laptop + Accessories),"Battery drains quickly, Overheating issues, Slow performance, Low storage space",Sometimes,RAM capacity,64 GB,"Laptop Bag, Mouse",Yes,User_0024,"Laptop Bag, External Storage, Cooling Pad"
